PLAYER_NAME,SEASON_1,ERA,cluster,PC1,PC2,rim_share,paint_share,mid_share,lc3_share,rc3_share,atb3_share
Jeremy Sochan,2024,post,0,-0.25663223342595154,1.5217097756436093,0.40932642487046633,0.2344559585492228,0.06735751295336788,0.04792746113989637,0.04922279792746114,0.19170984455958548
Rashard Lewis,2004,pre,3,0.5195764139942023,-0.6592784681443218,0.19967400162999185,0.16625916870415647,0.32192339038304807,0.06275468622656886,0.04971475142624287,0.19967400162999185
Sterling Brown,2021,post,2,3.6309453015176327,1.4200517908732062,0.23795180722891565,0.08132530120481928,0.04216867469879518,0.18373493975903615,0.09939759036144578,0.35542168674698793
Justin Holiday,2017,post,2,2.316665337038424,-0.32566903155493093,0.21121495327102804,0.041121495327102804,0.24299065420560748,0.07850467289719626,0.09906542056074766,0.32710280373831774
Trevor Ariza,2016,post,2,3.184324652103656,0.914343451151876,0.2727272727272727,0.04079254079254079,0.10606060606060606,0.07342657342657342,0.17249417249417248,0.3344988344988345
Al Harrington,2009,pre,3,0.6232473372796627,-0.10283643091162618,0.3220478943022296,0.08175061932287365,0.20891824938067713,0.04376548307184145,0.03550784475639967,0.30800990916597853
Wesley Matthews,2013,pre,2,2.3749686637065963,0.29947244006875096,0.2456575682382134,0.062034739454094295,0.1674937965260546,0.1141439205955335,0.07568238213399504,0.3349875930521092
LeBron James,2004,pre,4,-0.906369675585598,-0.9048650340176743,0.3458697112155809,0.14036265950302215,0.3700470114170584,0.020819341840161182,0.02216252518468771,0.10073875083948959
Randy Foye,2014,pre,3,1.7900622020385777,-0.29837721721402893,0.1791044776119403,0.06888633754305395,0.18484500574052812,0.05510907003444317,0.04707233065442021,0.46498277841561425
Luc Mbah a Moute,2012,pre,1,-1.9417203198612418,0.2288262266264322,0.6628352490421456,0.06896551724137931,0.25287356321839083,0.0038314176245210726,0.0038314176245210726,0.007662835249042145
Dalano Banton,2024,post,0,0.030391323362549183,1.0747777089460366,0.316,0.218,0.068,0.026,0.036,0.336
Tim Hardaway Jr.,2022,post,3,1.9745031512342013,-0.5425345609372285,0.11787072243346007,0.09125475285171103,0.2262357414448669,0.060836501901140684,0.060836501901140684,0.4429657794676806
Brandon Ingram,2022,post,4,-0.5824294817500077,-1.5291552863247089,0.17244897959183675,0.1836734693877551,0.4163265306122449,0.0163265306122449,0.0163265306122449,0.19489795918367347
Bobby Brown,2009,pre,3,0.5820221663909141,-1.2894122591509771,0.2140845070422535,0.07605633802816901,0.35774647887323946,0.030985915492957747,0.03943661971830986,0.28169014084507044
DeShawn Stevenson,2008,pre,3,2.0372518423883648,-0.6245938102298593,0.19176319176319176,0.032175032175032175,0.2483912483912484,0.06563706563706563,0.06692406692406692,0.39510939510939513
Boris Diaw,2008,pre,4,-1.321693583963126,-1.1811808542558124,0.3488372093023256,0.15968992248062017,0.4294573643410853,0.018604651162790697,0.021705426356589147,0.021705426356589147
Terry Rozier,2024,post,0,0.8660091262004077,0.565329109374608,0.21887550200803213,0.21485943775100402,0.1566265060240964,0.0783132530120482,0.05220883534136546,0.2791164658634538
Joel Embiid,2019,post,0,-1.2036616467454542,0.279752341496014,0.39766081871345027,0.1921470342522974,0.1921470342522974,0.005847953216374269,0.002506265664160401,0.2096908939014202
Josh Powell,2011,pre,4,-1.867018470144687,-1.8728574176413622,0.3076923076923077,0.17307692307692307,0.5144230769230769,0.0,0.004807692307692308,0.0
J.J. Barea,2019,post,0,-0.5836420893863297,0.039349045760434714,0.24415584415584415,0.23116883116883116,0.19220779220779222,0.01038961038961039,0.007792207792207792,0.3142857142857143
Ish Smith,2017,post,4,-1.1884774991187141,-0.7219613431927845,0.31593038821954483,0.19678714859437751,0.3493975903614458,0.014725568942436412,0.01740294511378849,0.10575635876840696
Carmelo Anthony,2004,pre,4,-1.0728631920702927,-0.7618922615064283,0.45733788395904434,0.06484641638225255,0.331740614334471,0.0061433447098976105,0.006825938566552901,0.13310580204778158
Aaron Gordon,2023,post,1,-0.592941844533985,1.4653242543709475,0.571994715984148,0.12945838837516513,0.07529722589167767,0.03963011889035667,0.034346103038309116,0.14927344782034346
Miles Bridges,2022,post,0,0.49633865827230295,1.4138734957712558,0.4197019867549669,0.15066225165562913,0.050496688741721855,0.061258278145695365,0.048841059602649006,0.26903973509933776
Marc Gasol,2016,post,4,-2.3442856025690944,-1.3362140917549667,0.1867043847241867,0.3465346534653465,0.4625176803394625,0.0014144271570014145,0.0,0.002828854314002829
Tony Parker,2005,pre,4,-1.161252017944339,0.029638340011776246,0.42256042972247093,0.17636526410026857,0.26320501342882724,0.02685765443151298,0.017009847806624886,0.09400179051029543
Jalen Johnson,2023,post,0,0.4675830820237377,1.6666832236801847,0.45454545454545453,0.16927899686520376,0.05956112852664577,0.05642633228840126,0.0877742946708464,0.1724137931034483
Jalen Williams,2023,post,0,-0.9244026863298688,1.2454696414557778,0.43813131313131315,0.22348484848484848,0.08207070707070707,0.027777777777777776,0.012626262626262626,0.2159090909090909
Eduardo Najera,2008,pre,3,1.0328026875234209,0.9616924383718047,0.453804347826087,0.04891304347826087,0.09782608695652174,0.057065217391304345,0.06793478260869565,0.27445652173913043
De'Aaron Fox,2024,post,0,-0.2760536619654246,0.5369960020063546,0.16925064599483206,0.313953488372093,0.14276485788113696,0.03359173126614987,0.020025839793281652,0.32041343669250644
Carlos Arroyo,2004,pre,4,-0.6961097338740992,-2.352581776539944,0.2297650130548303,0.0926892950391645,0.5313315926892951,0.016971279373368148,0.01174934725848564,0.1174934725848564
Jaylen Brown,2023,post,0,-0.18204895417255962,0.438817277855636,0.3125904486251809,0.1874095513748191,0.14905933429811866,0.023154848046309694,0.023878437047756874,0.30390738060781475
Marvin Bagley III,2021,post,0,-0.7589061798023168,1.8107727505461708,0.45102040816326533,0.27346938775510204,0.05510204081632653,0.06326530612244897,0.030612244897959183,0.12653061224489795
Theo Maledon,2022,post,0,0.46632578137601677,1.2467667290274405,0.1892744479495268,0.29652996845425866,0.04100946372239748,0.05993690851735016,0.028391167192429023,0.38485804416403785
Zach Randolph,2008,pre,4,-1.702922111988855,-0.77785274401598,0.3667296786389414,0.19281663516068054,0.3648393194706994,0.001890359168241966,0.007561436672967864,0.0661625708884688
Jose Calderon,2015,post,3,1.2177899331618953,-2.349848834557926,0.10734463276836158,0.022598870056497175,0.4689265536723164,0.05367231638418079,0.02824858757062147,0.3192090395480226
Caris LeVert,2023,post,0,0.6838361282681218,1.0643332420868057,0.27125506072874495,0.2145748987854251,0.07827260458839407,0.059379217273954114,0.048582995951417005,0.32793522267206476
Montrezl Harrell,2021,post,1,-2.5092138116720806,1.4866548296573976,0.6550580431177446,0.21724709784411278,0.1111111111111111,0.001658374792703151,0.0,0.014925373134328358
Goga Bitadze,2024,post,1,-1.9998229705826078,2.1299093939760696,0.7942583732057417,0.11961722488038277,0.019138755980861243,0.004784688995215311,0.014354066985645933,0.04784688995215311
Davis Bertans,2021,post,3,3.7342530745859475,0.23501697972300045,0.05263157894736842,0.023157894736842106,0.029473684210526315,0.07368421052631578,0.06315789473684211,0.7578947368421053
Carlos Arroyo,2006,pre,4,-1.4692006712722128,-2.3909510980434554,0.25132275132275134,0.13756613756613756,0.5582010582010583,0.0026455026455026454,0.0026455026455026454,0.047619047619047616
Andre Miller,2009,pre,4,-1.643723185029997,-1.2128295652889602,0.4241545893719807,0.11207729468599034,0.41835748792270533,0.005797101449275362,9.66183574879227E-4,0.03864734299516908
Skal Labissiere,2018,post,1,-2.0016215381660287,0.07285211850191023,0.2910284463894967,0.33698030634573306,0.26258205689277897,0.0,0.006564551422319475,0.10284463894967177
Eddie House,2011,pre,3,2.7203056156682055,-1.7475384438978874,0.04361370716510903,0.018691588785046728,0.3925233644859813,0.11526479750778816,0.056074766355140186,0.37383177570093457
Juan Dixon,2009,pre,4,0.034705183532961925,-1.7107285222523403,0.1953125,0.09765625,0.4140625,0.0390625,0.00390625,0.25
Rashard Lewis,2007,pre,3,0.5801887963070923,-0.49005590769604224,0.1936127744510978,0.15868263473053892,0.26646706586826346,0.05389221556886228,0.03293413173652695,0.2944111776447106
Tony Allen,2014,pre,1,-0.98478240634949,0.7593944657176817,0.6097560975609756,0.09024390243902439,0.1926829268292683,0.026829268292682926,0.04390243902439024,0.036585365853658534
Donatas Motiejunas,2013,pre,2,1.4964965851066623,1.6068856836716399,0.3192488262910798,0.2112676056338028,0.07981220657276995,0.15023474178403756,0.07042253521126761,0.16901408450704225
Chris Bosh,2014,pre,4,-0.23208477146055545,-1.0887230372869394,0.30640083945435465,0.09653725078698845,0.3683105981112277,0.022035676810073453,0.03462749213011543,0.1720881427072403
Ray Allen,2010,pre,3,1.2217607062817897,-0.3417708554418937,0.2394655704008222,0.09660842754367935,0.2538540596094553,0.0698869475847893,0.0565262076053443,0.28365878725590954
Austin Daye,2012,pre,4,0.22786919818502382,-2.109171466420965,0.14096916299559473,0.10572687224669604,0.4801762114537445,0.04405286343612335,0.022026431718061675,0.20704845814977973
Al Harrington,2004,pre,4,-1.195411349651349,-1.425422548921583,0.35209713024282563,0.12141280353200883,0.4448123620309051,0.02207505518763797,0.009933774834437087,0.04966887417218543
Dillon Brooks,2018,post,0,0.06152610125518068,0.12497900983207993,0.3084967320261438,0.1568627450980392,0.19869281045751633,0.027450980392156862,0.0392156862745098,0.269281045751634
T.J. Ford,2006,pre,4,-1.0561580591041257,-0.5414712272488819,0.37055837563451777,0.1649746192893401,0.33375634517766495,0.0266497461928934,0.01903553299492386,0.0850253807106599
Tracy McGrady,2011,pre,4,-0.852824409064313,-1.9440595369780702,0.271484375,0.09375,0.466796875,0.00390625,0.005859375,0.158203125
Brendan Haywood,2006,pre,1,-2.860431115500277,1.8046979990516454,0.5972222222222222,0.31712962962962965,0.08564814814814815,0.0,0.0,0.0
Daniel Gibson,2013,pre,3,2.3489616273938854,-0.9429506418139288,0.07377049180327869,0.040983606557377046,0.22950819672131148,0.05327868852459016,0.045081967213114756,0.5573770491803278
Marcus Camby,2012,pre,1,-2.058252575945903,-0.19481708155953426,0.5384615384615384,0.13986013986013987,0.3076923076923077,0.0,0.0034965034965034965,0.01048951048951049
Calvin Booth,2004,pre,4,-1.9479799741028354,-1.147046572126976,0.4206896551724138,0.1482758620689655,0.4241379310344828,0.0034482758620689655,0.0,0.0034482758620689655
Devonte' Graham,2020,post,3,1.195159393581688,0.030522081933081115,0.159375,0.12604166666666666,0.109375,0.017708333333333333,0.023958333333333335,0.5635416666666667
Nick Collison,2013,pre,1,-2.133419157017884,0.14921099393452236,0.5743243243243243,0.14527027027027026,0.2668918918918919,0.0033783783783783786,0.0,0.010135135135135136
Tony Parker,2014,pre,4,-1.3811897454678417,-0.6125970996755732,0.38183807439824946,0.1838074398249453,0.3610503282275711,0.02735229759299781,0.016411378555798686,0.02954048140043764
Meyers Leonard,2020,post,0,1.1814599293835801,0.8849234828645923,0.2692307692307692,0.13675213675213677,0.04700854700854701,0.05128205128205128,0.03418803418803419,0.46153846153846156
Zach LaVine,2024,post,3,0.9346716697679613,0.0870021677293337,0.3058510638297872,0.07712765957446809,0.1675531914893617,0.04521276595744681,0.03723404255319149,0.3670212765957447
Jrue Holiday,2018,post,0,-0.5028304075267696,0.6324480594649802,0.34863123993558776,0.21336553945249598,0.1529790660225443,0.029790660225442835,0.02576489533011272,0.22946859903381642
Frank Jackson,2019,post,2,1.1068087890355667,1.0059058821623028,0.3624161073825503,0.13646532438478748,0.12304250559284116,0.08501118568232663,0.07606263982102908,0.21700223713646533
Malcolm Delaney,2017,post,4,0.6370660154198856,-2.363271448898042,0.13471502590673576,0.06735751295336788,0.5181347150259067,0.04145077720207254,0.04922279792746114,0.18911917098445596
Bismack Biyombo,2017,post,1,-2.734259738109269,1.602118161618527,0.6224188790560472,0.2713864306784661,0.10619469026548672,0.0,0.0,0.0
Vince Carter,2011,pre,3,0.7969485502704228,-0.3156681612772096,0.26013513513513514,0.11824324324324324,0.2635135135135135,0.05518018018018018,0.05855855855855856,0.24436936936936937
Terrence Williams,2010,pre,4,-1.0394579941680102,-0.3783995970791052,0.37829457364341085,0.16744186046511628,0.3085271317829457,0.02635658914728682,0.017054263565891473,0.10232558139534884
Bruce Brown,2020,post,0,-0.44094003409987914,2.218484380991514,0.4809843400447427,0.2751677852348993,0.029082774049217,0.06263982102908278,0.07158836689038031,0.08053691275167785
